0102, 월, 1 2 3 4 5 6 7 8 9
0104, 월, 1 2 3 4 5 6 7 8 9
0206, 월, 4
0207, 월, 3 9
0209, 월, 4 5 7 8 9
0212, 월, 7 8 9
0213, 월, 1 2 3 4 5 6 7 8 9
0214, 월, 7 8 9
0301, 월, 6
0302, 월, 9
0303, 월, 7 8 9
0304, 월, 9
0305, 월, 9
0306, 월, 1 2 5 6 9
0309, 월, 9
0310, 월, 4 5 7 8 9
0311, 월, 5 6 9
0401, 월, 1 4 7 8 9
0402, 월, 4 7 8 9
0403, 월, 1 2 6 7 8 9
0404, 월, 3 9
0405, 월, 1 2 3 9
0409, 월, 3 4 9
0410, 월, 9
0411, 월, 4 9
0412, 월, 
0413, 월, 3 9
0415, 월, 1
0416, 월, 1 3 4 7 8 9
0501, 월, 1 2 7 8 9
0502, 월, 1 2 7 8 9
0503, 월, 1 2 5 6 9
0504, 월, 1 2 3
0505, 월, 1 2 3 4 7 8 9
0506, 월, 7 9
0508, 월, 1 4 9
0509, 월, 3 4 9
0511, 월, 1 4 9
0512, 월, 9
0513, 월, 9
0514, 월, 9
0515, 월, 1 2 3 9
0516, 월, 1 2 5 6 9
0517, 월, 3 4 5 6 8 9
0518, 월, 1 2 3 4 5 6 7 8 9
0604, 월, 1 2 3 7 8 9
1206, 월, 1 2 3 4 7 8 9
1301, 월, 7 8 9
1302, 월, 9
1303, 월, 3
1304, 월, 1 2 3 4 5 6 7 8 9
1305, 월, 1 2 3 4 5 6 7 8 9
1306, 월, 1 2 9
1307, 월, 7 8 9
1308, 월, 1 2 7 8 9
1309, 월, 1 2 3 7 8 9
1310, 월, 7 8 9
1311, 월, 7 8 9
1312, 월, 1 2 5 6 9
1313, 월, 3 4 9
1314, 월, 7 8 9
1334, 월, 1 2 3 4 5 6 7 8 9
1401, 월, 1 2 9
1402, 월, 9
1403, 월, 1 2 7 8 9
1409, 월, 7 8
1410, 월, 1 2 3 9
1411, 월, 7 8 9
1501, 월, 9
1502, 월, 1 2
1503, 월, 9
1504, 월, 9
1505, 월, 1 2 9
1506, 월, 1 2 5 6 9
1507, 월, 1 2 5 6 7 8
1509, 월, 7 8
1510, 월, 1 2 3 4 9
1511, 월, 1 2 7 8 9
1512, 월, 1 2 7 8 9
1513, 월, 7 8 9
1514, 월, 
2201, 월, 1 2 3
2213, 월, 4 9
2214, 월, 9
2301, 월, 1 2 5 6 9
2302, 월, 3 9
2303, 월, 9
2305, 월, 1 2 7 8 9
2306, 월, 3 4 5 6 9
2307, 월, 3 4 9
2308, 월, 5 6 7 8 9
2309, 월, 9
2310, 월, 4 9
2311, 월, 1 2
2312, 월, 7 8 9
2313, 월, 4 5 6
2314, 월, 1 2 3 9
2315, 월, 1 2 9
2401, 월, 1 2 3 9
2402, 월, 7 8 9
2403, 월, 7 8 9
2404, 월, 1 2 7 8 9
2406, 월, 4 5 6
2407, 월, 7 8 9
2408, 월, 1 2 5 6
2409, 월, 1 5 6 7 8 9
2410, 월, 5 6 7 8 9
2411, 월, 1 2 3 4 5 6 7 8 9
2412, 월, 4
2413, 월, 1 2 3 4 5 6 7 8 9
2414, 월, 1 2 3 9
2415, 월, 3 7 8 9
2416, 월, 1 2 3 4 5 6 7 8 9
2417, 월, 1 2 3 4 5 6 9
2501, 월, 1 2 3 4 9
2502, 월, 1 2 9
2503, 월, 5 6 9
2504, 월, 1 2 9
2506, 월, 1 2 5 6
2507, 월, 5 6 7 8 9
2508, 월, 1 2 3 4 5 6 7 8 9
2509, 월, 1 2 7 8 9
2510, 월, 5 6 7 8 9
2511, 월, 1 2 3 4 5 6 7 8 9
2512, 월, 1 2 3 4 5 6 7 8 9
2513, 월, 1 2 3 4 5 6 7 8 9
2514, 월, 1 2 3 4 5 6 7 8 9
2515, 월, 3 4 5 6 7 8 9
2516, 월, 1 2 3 4 5 6 7 8 9
2517, 월, 1 2 3 4 5 6 7 8 9
3112, 월, 1 2 3 4 5 6 7 8 9
3114, 월, 1 2
