0115, 월, 9
0116, 월, 1 2 3 4 7 8 9
0117, 월, 1 2 3 4 5 6 7 8 9
01202, 월, 4 9
0211, 월, 1 2 3 7 8 9
0225, 월, 1 2 3 4 5 6 7 8 9
0328, 월, 1 2 3 4 9
0329, 월, 1 2 3 4 5 6 9
0330, 월, 1 2 3 4 9
0338, 월, 1 2 9
1202, 월, 1 2 3 4 9
1203, 월, 1 2 3 4 5 6
1204, 월, 
1205, 월, 1 2 7 8 9
1206, 월, 1 2 3 4 5 6
1207, 월, 1 2 3 4 7 8 9
1208, 월, 1 2 3 4 5 6
1210, 월, 1 2
1211, 월, 
1301, 월, 1 2 9
1302, 월, 1 2 9
1303, 월, 
1304, 월, 1 2 3 4 5 6 7 8 9
1305, 월, 1 2 3
1306, 월, 9
1307, 월, 1 2 3
1308, 월, 
1310, 월, 
1401, 월, 9
1402, 월, 1 2 5 6 9
1403, 월, 1 2 3
1404, 월, 1
1405, 월, 
1406, 월, 9
1407, 월, 1 2 7 8 9
1408, 월, 
1409, 월, 1 2 9
1501, 월, 9
1502, 월, 1 2
1503, 월, 4 5 6
1504, 월, 1 2 3 4 5 6 7 8 9
1505, 월, 
1506, 월, 3 9
1507, 월, 1 2 4 5 6 7 8 9
1508, 월, 9
1509, 월, 9
1601, 월, 1 2
1602, 월, 1 2 5 6 7 8 9
1603, 월, 9
1604, 월, 1 2 5 6 7 8 9
1605, 월, 1 2 3 4
1606, 월, 1 2 7 8 9
1607, 월, 1 2 5 6 9
1608, 월, 
1609, 월, 9
2000, 월, 1 2 3 4 5 6 7 8 9
2105, 월, 7 8 9
2201, 월, 
2202, 월, 1 2 3
2203, 월, 1 2 5 6
2204, 월, 5 6
2205, 월, 3
2207, 월, 1 2 3
2208, 월, 1 2 9
2209, 월, 1 2
2210, 월, 1 2 7 8 9
2401, 월, 9
2402, 월, 9
2403, 월, 
2404, 월, 
2405, 월, 5 6
2407, 월, 1 2 5 6 7 8 9
2408, 월, 5 6
2409, 월, 
2502, 월, 
2505, 월, 1 2 3 4 5 6 7 8 9
2506, 월, 
2507, 월, 1 2 5 6 7 8 9
2508, 월, 1 2 3 7 8 9
2509, 월, 
2601, 월, 9
2602, 월, 1 2 3 4
2604, 월, 1 2 3 4 5 6 7 8 9
2605, 월, 1 2 5 6 9
2608, 월, 1 2 3 4 5 6 7 8 9
3106, 월, 9
3201, 월, 1 2 3 4
3202, 월, 4
3203, 월, 1 2 5 6
3204, 월, 1 2 3 4 5 6 7 8 9
3205, 월, 1 2 3
3206, 월, 3 4
3207, 월, 4 5 6 7 8 9
3301, 월, 
3302, 월, 1 2
3303, 월, 1 2 3 7 8 9
3304, 월, 1 2 7 8 9
3305, 월, 1 2 9
3306, 월, 
3307, 월, 1 2 3
3308, 월, 1 2 3
3401, 월, 7 8 9
3402, 월, 
3403, 월, 9
3404, 월, 
3405, 월, 
3406, 월, 4
3407, 월, 1 2 3
3408, 월, 1 2 3
3409, 월, 7 8 9
3501, 월, 3
3502, 월, 1 2 7 8
3503, 월, 1 2 5 6 9
3504, 월, 
3505, 월, 1 2 3 4
3506, 월, 
3507, 월, 1 2 3 4 5 6 7 8 9
3508, 월, 1 2 3 7 8 9
3509, 월, 
5001, 월, 1 2 3 4 5 6
5003, 월, 1 2 3 4 5 6
5101, 월, 7 8 9
5601, 월, 1 2 3 4 5 6 7 8 9
5701, 월, 1 2 3 7 8 9
5801, 월, 1 2 3 4 5 6 7 8 9
6105, 월, 
6226, 월, 4 5 6
6411, 월, 1 2 3 4 5 6 9
6502, 월, 7 8 9
6503, 월, 1 2 3 4 7 8 9
6504, 월, 3 4 7 8 9
7208, 월, 1 2 3 4 5 6 7 8 9
C301, 월, 
C302, 월, 1 2
C303, 월, 1 2 3 4 5 6
C304, 월, 4 5 6
C305, 월, 1 2 3 4 9
C306, 월, 1 2 9
C307, 월, 
C308, 월, 9
C309, 월, 7 8 9
C310, 월, 7 8 9
C311, 월, 1 2 3 4 5 6
C401, 월, 
C402, 월, 1 2 3 4 5 6 7 8 9
C405, 월, 9
C406, 월, 3 4 5 6 7 8 9
C407, 월, 5 6 7 8 9
C408, 월, 1 2 3 4 5 6
C409, 월, 1 2 3 4 5 6
C412, 월, 
C413, 월, 1 2 3 4 5 6
C501, 월, 1 2 3 4 5 6 7 8 9
C514, 월, 4 5 6
C515, 월, 
0115, 화, 9
0116, 화, 1 2 3 4 5 6 7 8 9
0117, 화, 1 2 3 4 5 6 7 8 9
01202, 화, 1 2 5 6 9
0211, 화, 1 2
0225, 화, 7 8 9
0328, 화, 9
0329, 화, 1 2 3 4 7 8 9
0330, 화, 1 2 3 4 9
0338, 화, 1 2 7 8 9
1202, 화, 9
1203, 화, 1 2 3 4 5 6 7 8 9
1204, 화, 
1205, 화, 1 2 3 4 5 6 7 8 9
1206, 화, 1 2 3 4 5 6 7 8 9
1207, 화, 1 2 3 4 5 6 7 8 9
1208, 화, 1 2 3 4 7 8
1210, 화, 1 2 3
1211, 화, 9
1301, 화, 9
1302, 화, 9
1303, 화, 1 2
1304, 화, 
1305, 화, 9
1306, 화, 
1307, 화, 3 4
1308, 화, 
1310, 화, 4 5 6
1401, 화, 
1402, 화, 7 8 9
1403, 화, 
1404, 화, 
1405, 화, 
1406, 화, 1 2
1407, 화, 1 2
1408, 화, 
1409, 화, 9
1501, 화, 5 6 9
1502, 화, 
1503, 화, 1 2 3 4 5 6 7 8 9
1504, 화, 3
1505, 화, 7 8
1506, 화, 9
1507, 화, 3
1508, 화, 
1509, 화, 9
1601, 화, 5 6 9
1602, 화, 1 2 5 6
1603, 화, 3
1604, 화, 
1605, 화, 5
1606, 화, 
1607, 화, 1 2
1608, 화, 
1609, 화, 5 6
2000, 화, 1 2 3 4 5 6 7 8 9
2105, 화, 9
2201, 화, 
2202, 화, 
2203, 화, 1 2 3 9
2204, 화, 
2205, 화, 
2207, 화, 
2208, 화, 
2209, 화, 9
2210, 화, 
2401, 화, 5 6
2402, 화, 5 6 9
2403, 화, 7 8 9
2404, 화, 5 6
2405, 화, 
2407, 화, 
2408, 화, 5 6 7 8 9
2409, 화, 9
2502, 화, 
2505, 화, 1 2 3 4 5 6 7 8 9
2506, 화, 9
2507, 화, 7 8 9
2508, 화, 4 5 6 7 8 9
2509, 화, 
2601, 화, 9
2602, 화, 1 2 3 4 5 6
2604, 화, 
2605, 화, 1 2 3 4 5 6 7 8 9
2608, 화, 1 2 3 4 5 6 7 8 9
3106, 화, 3
3201, 화, 1 2 3 4 5 6
3202, 화, 1 2
3203, 화, 1 2 3 4 5 6 9
3204, 화, 7 8 9
3205, 화, 1 2 3 7 8 9
3206, 화, 1 2 3 7 8 9
3207, 화, 1 2 3
3301, 화, 
3302, 화, 1 2 7 8 9
3303, 화, 
3304, 화, 1 2 3 4 9
3305, 화, 7 8
3306, 화, 4 5 6
3307, 화, 
3308, 화, 
3401, 화, 1 2 3
3402, 화, 1 2 3 4 9
3403, 화, 
3404, 화, 1 2 3
3405, 화, 
3406, 화, 4 5 6
3407, 화, 
3408, 화, 
3409, 화, 1 2 3
3501, 화, 1 2 5 6
3502, 화, 7 8 9
3503, 화, 4 5 6
3504, 화, 
3505, 화, 1 2 3 4
3506, 화, 4 5 6
3507, 화, 
3508, 화, 4 5 6 7 8 9
3509, 화, 
5001, 화, 
5003, 화, 1 2 3 4 5 6 7 8 9
5101, 화, 1 2 3 4 5 6 7 8 9
5601, 화, 1 2 5 6 9
5701, 화, 1 2 3 4 5 6 9
5801, 화, 1 2 5 6 9
6105, 화, 4 9
6226, 화, 1 2
6411, 화, 1 2 3 4 5 6 7 8 9
6502, 화, 1 2 3 7 8 9
6503, 화, 1 2 7 8 9
6504, 화, 1 2 3 4 5 6 7 8 9
7208, 화, 3 4 5 6 7 8 9
C301, 화, 
C302, 화, 1 2 3
C303, 화, 1 2 3 7 8 9
C304, 화, 4
C305, 화, 
C306, 화, 9
C307, 화, 1 2 3 9
C308, 화, 
C309, 화, 5 6
C310, 화, 1 2
C311, 화, 1 2 3
C401, 화, 
C402, 화, 1 2 3 4 5 6 7 8 9
C405, 화, 9
C406, 화, 1 2
C407, 화, 1 2 5 6
C408, 화, 1 2 3
C409, 화, 1 2 3 4 5 6 7 8 9
C412, 화, 
C413, 화, 
C501, 화, 1 2 3 7 8 9
C514, 화, 
C515, 화, 
0115, 수, 1 2 3 4
0116, 수, 1 2 3 4 5 6 7 8 9
0117, 수, 1 2 3 4 5 6
01202, 수, 1 2 3 4 5 6
0211, 수, 9
0225, 수, 3
0328, 수, 1 2 3 7 8 9
0329, 수, 1 2 3 4 5 6 9
0330, 수, 5 6 7 8 9
0338, 수, 4 5 6 7 8 9
1202, 수, 9
1203, 수, 5 6 7 8 9
1204, 수, 
1205, 수, 1 2 3
1206, 수, 3 4 5 6 7 8 9
1207, 수, 1 2 3 4 9
1208, 수, 1 2 3 4 5 6
1210, 수, 
1211, 수, 1 2 3
1301, 수, 5 6 9
1302, 수, 5 6 7 8 9
1303, 수, 
1304, 수, 9
1305, 수, 1 2 3 9
